 36,100, 76, 87, 74, 48, 35, 36, 21, 47, 28, 56, 62, 14, 74,  0, 2
 43, 95, 85, 90, 79, 67, 50, 64, 48, 70, 72, 17, 32, 14,  8, 61, 8
 53,100, 46, 47, 41, 12, 40,  1, 37,  2, 46,  2, 51,  0, 64,100, 8
 52, 98, 38, 97, 36, 72, 63, 75, 69, 89, 48, 57, 34, 21, 32,  0, 4
 73, 84, 17, 66,  5, 10, 53,  0, 93, 18, 92, 64, 56, 94, 20,100, 0
 17, 91, 34, 97, 65,100, 83, 97, 73, 73, 49, 40, 36, 12, 35,  0, 7
 51,100, 22, 81, 53, 86, 40, 72,  4, 48, 71,  0, 82, 61, 41, 74, 8
 63,100, 12, 64, 20, 55, 86, 42, 89, 59, 72, 76, 33, 12, 32,  0, 4
 66,100, 26, 81, 16, 51, 70, 42, 85, 16, 42,  2, 14, 13, 86, 79, 8
 90,100, 40, 78, 15, 20, 20,  0, 36,  8, 41, 24, 23, 38, 10, 37, 6
