 37, 90, 14, 29, 26,  3, 76, 15, 86, 72, 75, 99, 54, 97, 37, 94, 0
 47, 82, 54, 95, 57, 80, 51, 35, 49, 11, 43,  0, 51,  4, 55,  5, 1
 22, 85, 40, 99, 81, 78, 84, 57, 23, 14, 10,  7, 61,  5,100,  1, 2
 34, 73, 46, 97, 82, 89, 46, 56, 90, 47, 75, 11, 16,  1,  9, 18, 3
 55,100, 35, 54, 24, 32, 70, 33, 57, 76, 57, 33, 56,  9, 56,  0, 4
 35, 98, 35, 74, 74, 75,100, 36, 41,  4,  1, 28, 36, 91,100, 84, 5
 72,100, 44, 76, 28, 29, 41,  5, 47,  0, 56, 28, 48, 51, 37, 57, 6
 23,100, 39, 91, 62, 78, 41, 46, 35, 27, 31, 11, 32,  1, 38,  2, 7
 34, 93, 72, 92, 54, 57, 25, 23, 67,  0, 75, 31, 54, 69, 44, 79, 8
 61, 87, 56,100, 40, 79, 47, 60, 62, 82, 49, 40, 41, 13, 38,  0, 9
