 35, 94, 27, 35, 37,  1, 73, 34, 61, 91, 55,100, 42, 94, 35, 88, 0
 53,100, 53, 78, 53, 53, 52, 30, 47,  5, 47,  2, 47,  1, 47,  0, 1
 41,100, 59,100, 71, 89, 72, 64, 34, 14, 30, 12, 63,  2, 72,  0, 2
 32, 86, 42,100, 68, 88, 32, 65, 82, 51, 64, 16, 38,  0, 17,  0, 3
 55,100, 31, 49, 30, 41, 71, 47, 53, 46, 50, 21, 49,  5, 48,  0, 4
 24,100, 49, 55, 81, 19, 39,  3, 31,  0, 19, 18, 46, 89, 69, 87, 5
 84,100, 27, 81, 16, 22, 31,  0, 51, 20, 38, 49, 26, 57, 21, 57, 6
 15, 99, 32,100, 71, 95, 75, 95, 85, 92, 72, 73, 35, 22, 22,  0, 7
 64, 73, 80, 87, 14,100, 76, 32, 71,  2, 34, 15, 31, 67, 58, 73, 8
 58, 89, 52,100, 26, 66, 42, 45, 73, 74, 62, 62, 56, 14, 53,  0, 9
