 48,100, 15, 58, 16,  8, 75, 12, 88, 61, 84, 81, 75, 89, 58, 94, 0
 28,100, 34, 94, 57, 48, 64, 31, 68, 17, 70,  8, 71,  5, 72,  0, 1
 24, 88, 49,100, 69, 88, 73, 61, 21,  6, 24,  3, 53,  3, 88,  0, 2
 38, 84, 68,100, 74, 70, 55, 56, 80, 48, 74,  2, 21,  3, 15, 19, 3
 65,100, 30, 60, 26, 42, 77, 39, 65, 87, 65, 37, 65,  8, 65,  0, 4
 35,100, 37, 65, 88, 60, 95, 20, 17,  0,  5, 12, 63, 96, 83, 96, 5
 85,100, 46, 85, 13, 34, 46,  1, 84,  9, 86, 41, 43, 73, 23, 75, 6
 21, 98, 49, 97, 77, 91, 74, 83, 61, 57, 53, 32, 47,  9, 44,  0, 7
 52, 70, 77, 88, 46, 98, 45, 59, 74, 26, 54,  1, 29, 38, 57, 65, 8
 68, 93, 38, 96, 43, 53, 55, 64, 62, 77, 56, 15, 45,  0, 36,  1, 9
