 37, 93, 27, 13, 39,  1, 60, 19, 72, 64, 62, 90, 48,100, 40, 96, 0
 55,100, 55, 82, 45, 39, 45, 37, 45, 33, 45, 28, 49,  5, 50,  0, 1
 24, 56, 54,100, 71, 97, 70, 52, 28,  7, 28,  1, 71,  2, 84,  2, 2
 37, 92, 46, 95, 71, 90, 66, 66, 47, 60,100, 44, 78,  6,  0,  4, 3
 53,100, 11, 67,  4, 53, 12, 48, 64, 42, 96, 42, 52, 26, 52,  0, 4
 36,100, 27, 44, 69, 26, 69, 14, 53,  1, 31,  3, 54, 80, 76, 78, 5
 64,100, 36, 63, 30, 29, 34, 12, 54,  0, 70, 10, 58, 28, 34, 73, 6
 23,100, 37,100, 72, 91, 77, 89, 70, 76, 45, 35, 41, 20, 40,  0, 7
 58,100, 20, 76, 76, 39, 86, 27, 46,  2, 35, 10, 37, 63, 54, 78, 8
 70, 90, 49,100, 33, 74, 56, 50, 61, 51, 54, 23, 51,  9, 48,  0, 9
